Card   1: 73 92 13 35 18 96 37 72 76 39 | 82 14 66 57 25 98 49 28  3 95 81 85 31 30 16 79  7 12 55 19 97 45  9 58  2
Card   2: 41 93 82 81 96 56 46 13 44 79 | 13 28 47 49 46 94 84 87 96 45 41 79 35 43 31 34 81 82 64 93  8 56  9 44 55
Card   3: 22 26 55 46 94 88  3 17 91 95 | 95 97 44 25 46 91 17 20 43 94 22 34 62 73 31 55 60 79 88 90  3 80 33 89 26
Card   4: 78 32 27 65 64 28 43 81 50 93 | 95 37 77 46 29 55 98 88 94 72 53 80 43 41  7 63 92 33 32 66  2 35 31 24 65
Card   5: 74 21 96 20 45 88 18 10 53 73 | 80 87 86 81 28 11 77 16 70 44  8 22 72 85 27 35 42 36 84 37 59  9 41 56  3
Card   6: 70 48 93 10 63 97 20 77 72 42 | 19  7 12  1 47 31 72 88 36 82 69 17 29 62 22  8 32 86 52 76 96 41 51 55 44
Card   7: 79 43 87 42  8 74 51 69  3 44 | 30 27 19 42 99 28 68 43  5 36 54 24 92 97 34 44 96  2 50 82 35 69 25 45 18
Card   8: 11 39 32 62 93 41 75 94 23 29 | 40 31 95 41 17 21 81 90 34 13  4  5 48 24 20 80 50 26 27 43 54 61  8 73 89
Card   9: 75 99 39 45 32 35 55 87 76 21 | 34 14 80  3 93 46 71 78 23 22 87 82 42 49 76 94 10 51 44 58 11  4 91 26 43
Card  10: 34 53  9 36 52 30 70 60 65 96 | 85 31 29 41  4 88 63 93  9 52 11 37 23 61 51 71 97 26 70 15 38 72 94 64 95
Card  11: 41 92 42 94 63 89 85 25 86 98 |  3 20 70 74 93 34 21 82 37 55  9 79 85 41 14 99  2 92 90 26 40 57 67 89 31
Card  12: 50 37 85 46 56 44  2 42 60 66 | 69 78 30 59 71 87  6 51  9 81 75 45 24 16 31 61 44 96 41 86 23 17 42 27 40
Card  13: 24 46 50 29 89 77 49 25 53 65 | 63 66 43 86 11  9 40 70 38 79 78 27 12 20 84 42 67 73 22  8 68 35  6  4 69
Card  14: 72 68  9 78 90 40 55 37 16 52 | 27 98 76 63 58 70  8 44 48 90  6 92  3 20 96 88 59 31 95 15 45 47 30 65 64
Card  15: 15 28 38 87 24 61 26 13 18 94 | 63 56 51 29 17 47 21 62 19 14 69 32 60 41 11 10 54 89  7 35 71 16 96 20 27
Card  16: 11 24 42 76 99 12 45 94 33 10 | 36 94 72 31 12 28 24 18 11 99 61 33 79 10 53 35 76 42 43 22 78 27 62 59 45
Card  17: 72 40 35 28 16 51  2 89 83 39 | 68 79 67 15 77 35 12 34 57 16 10 75 72 39 89 60 27 29 19 17 32 45 37 38 14
Card  18: 13 68 25 92 79 95 67 87 50  7 | 29 23  1 59 91 51 17 80 12 84 27 66 69 61 39 16 34 44 54 37  4 11  9 45 14
Card  19: 62 14 80 15 40 69 26 65 83 32 | 72 18 66 83 59 48 65 50 37 93 80 14 67 60 40 68 32 69 27 85 30 31 62 15 26
Card  20:  4 20 48 56 11 13  8 83 98 96 | 87 25  5 99 19  3 51 79 36 35 39 43 45 63 80 40 20 75 24 64 54 98 95 68 72
Card  21: 13 67 19 78 79 47 49 69  8  9 | 44  9 47 62 50 78 19 76  8 57 77 13 39 11 43 67 49 18 79 94 69 55 58  7 70
Card  22: 21 39  6 99 81 57 22 53 95 90 | 80 46 74 15 69 72 14 16 87 10 99 20 45 81  6 27 51 21 40 89 90 95 65 57 50
Card  23: 27 36 95 10 68 52 30 43 51 70 | 62 52 51 95 68 25 11 30 65 10 55 49 27 81 34 37 63 43  9 56 96 70  1 36 58
